Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Carriage and wagon makers,50,42464,290,138,519,1640,361,7,543,3534,2338,283,338,1465,89,931,590,2190,1733,410,220,1836,69,22,321,1324,6138,569,5226,137,4487,141,166,915,383,410,740,288,1423,200
Charcoal and lime burners,66,3834,84,,106,173,1,1,25,257,73,77,28,48,,255,92,119,85,21,112,50,3,18,5,92,1116,8,212,4,505,,5,38,19,5,18,14,73,26
Cheese-makers,0,3534,,,9,7,,,,126,2,21,1,9,,,2,52,64,11,,1,3,,2,20,2351,5,624,2,30,,,2,,110,,,77,3
Cigar-makers,0,28286,53,9,1900,610,68,284,85,1438,534,364,139,471,703,87,1002,1000,537,94,2,1348,31,1,59,973,7750,4,2703,4,4708,264,68,24,38,43,65,140,592,91
Clerks and book-keepers (in manufacturing establishments),6,5861,22,4,119,166,54,3,25,294,164,44,15,157,116,50,121,628,112,9,3,177,2,14,54,289,791,11,539,8,1330,95,70,45,6,19,179,20,27,73
Clock-makers,-4,1779,4,,4,1153,,,4,14,21,1,2,74,3,7,14,84,2,,,13,,,10,29,172,4,4,46,80,2,,13,,3,11,5,1,3
Comb-makers,0,693,,,2,55,,,,1,,,,,,,,431,,,,,,,,7,174,,3,,14,6,,,,,,,,
Confectioners,0,8219,67,21,128,137,32,9,59,384,223,133,46,315,137,126,555,405,108,51,69,418,23,17,48,375,1985,40,507,9,993,111,26,142,56,22,210,40,78,114
Coopers,20,41789,120,32,451,211,146,51,136,3550,3135,841,123,1021,1141,1092,1483,1393,2118,368,16,1945,25,6,208,576,5669,865,6283,61,3855,99,294,358,92,277,1213,940,1350,225
Copper-workers,0,2122,21,,47,94,10,1,16,91,44,16,5,34,67,9,51,267,54,6,5,83,6,5,36,136,435,14,130,3,274,34,6,27,12,1,20,9,25,28
Cotton-mill operatives,0,111606,744,62,15,9057,472,1,2052,63,447,9,2,208,419,8774,929,39195,5,41,183,198,,,12759,2215,7917,938,282,8,8054,13562,871,585,107,667,723,14,17,11
"Curriers, tanners, and finishers of leather",0,28702,89,30,229,212,110,20,147,535,528,45,28,399,45,643,444,4757,450,21,35,284,15,6,357,998,11368,106,1533,51,3500,129,43,271,47,233,262,202,461,69
Daguerreotypists and photographers,0,7558,48,45,189,156,14,19,83,605,305,253,92,159,63,165,166,548,337,102,46,257,30,13,141,149,1298,44,593,35,759,65,22,84,110,90,96,35,220,122
Die-sinkers and stamp-makers,0,479,,,5,54,1,1,3,12,5,3,1,1,8,11,9,84,10,3,2,18,2,,2,18,64,1,53,2,49,29,1,2,2,9,4,,9,1
Distillers and rectifiers,0,2874,10,2,79,25,3,4,5,493,81,33,14,292,30,5,50,51,10,7,7,86,3,2,,43,444,49,488,2,287,2,37,63,6,1,48,17,83,12
Employees of manufacturing establishments,-70,20242,84,30,731,713,99,17,78,1842,240,415,61,255,146,130,341,2326,189,28,142,284,58,235,235,509,3736,52,1380,6,2971,578,120,108,32,25,348,195,1348,225
Engineers and firemen,6,34233,193,126,979,630,127,79,93,1977,1048,707,196,730,602,331,757,1726,1717,315,193,1519,64,389,101,1570,6013,144,2552,84,6040,363,140,573,241,214,279,370,626,419
Engravers,0,4226,3,1,73,92,3,1,4,199,35,10,12,30,29,10,42,484,43,2,1,146,,1,26,399,1630,,260,,427,133,5,7,1,9,10,,17,81
Fertilizer-establishment operatives,0,316,,,,3,9,,1,15,3,,,,,2,9,88,36,,,,,,,47,80,,6,,8,,7,,,,2,,,
"File makers, cutters, and grinders",0,1413,,,8,59,2,,,43,63,,,7,2,28,14,121,18,1,,8,,,34,97,421,,184,,118,158,,,,12,2,2,10,1
Fireworks makers,0,101,,,1,,,,,2,,,,,,,,3,,,,,,,,16,40,,26,,4,,,,1,,,,,8
Fishermen and oystermen,26,27106,174,20,951,920,85,161,158,305,105,95,16,95,678,3800,1569,5311,1075,57,55,140,2,8,78,1197,2557,1210,300,90,438,697,338,134,57,27,3580,7,340,250
Flax-dressers,0,1046,,,,,,,,,5,,,,,,,397,2,1,,,,,,100,159,,327,,17,,,,,38,,,,
Fur-workers,0,1191,,,,3,,,,10,,11,2,4,,1,3,193,4,6,,19,,,,62,764,,19,,85,1,1,,,,,,1,2
"Galloon, gimp, and tassel makers",0,569,,,,,,,,,,,,,,,,,89,,,1,,,,24,325,,11,,119,,,,,,,,,
Gas-works employees,0,2086,14,1,37,48,,1,24,91,32,3,5,44,10,21,21,188,22,1,,31,3,1,25,65,624,10,203,6,415,36,5,11,8,,42,3,29,6
Gilders,0,1534,,,24,34,,,1,71,4,,,21,8,5,77,170,32,,,17,,,,67,652,,98,,216,17,4,2,,,6,,8,
Glass-works operatives,-7,9518,,,38,84,,,2,199,225,7,3,155,,24,109,980,13,,3,106,,5,17,1619,1024,,423,,4128,20,,1,,,5,324,6,5
Glove-makers,-1,2329,,,22,,,,,61,2,5,3,4,,,24,10,19,4,,14,,,44,15,1994,1,1,15,27,,,1,,8,24,12,13,7
Glue-makers,0,241,,,13,1,,,,11,1,,,3,,1,6,6,1,,,1,,,3,24,31,,24,,107,1,,,,,,3,3,1
Gold and silver workers,90,18508,66,29,252,403,31,32,194,907,306,38,58,184,103,92,211,2652,163,48,69,420,62,44,33,2553,4731,62,1003,35,1437,1374,7,151,111,47,103,60,99,248
Gun and lock smiths,0,8184,72,45,158,791,8,19,76,366,223,122,44,178,144,29,175,499,164,63,57,326,11,13,78,285,2061,90,553,23,707,38,35,147,147,30,118,60,122,107
Hair cleaners and dressers,0,1026,1,,82,10,,,,50,9,7,,8,3,5,75,114,17,4,,38,4,,7,14,374,1,76,1,74,23,5,3,1,3,2,,15,
Harness and saddle makers,12,32817,183,146,719,542,73,27,240,2682,1645,1334,445,1034,258,543,550,1203,1022,330,171,1883,119,44,324,1272,5547,241,3121,127,3061,156,104,655,673,377,554,274,827,299
Hat and cap makers,0,12625,,,34,2481,,,,42,6,,,1,4,20,17,2002,6,,,14,,,2,3749,3651,,41,,510,21,14,,,3,,,7,
Hoop-skirt makers,0,962,1,,,70,4,,,,7,,,,,,,273,14,2,,,,,,21,515,,45,,,,,1,,,1,,8,
Hose-makers (leather and other),-62,248,,,6,2,1,,,,,,,2,,,2,22,,,2,,,,169,1,9,2,3,2,6,,8,,5,,,,68,
House builders and contractors,0,399,4,,2,21,1,14,20,26,4,,,1,,,2,106,5,8,4,14,12,5,23,24,46,,18,,4,3,6,11,,,7,,8,
Ice-cutters,0,142,1,,,1,,,1,,,,,,,47,5,47,,,,,,,,6,15,,14,,,,1,2,1,,,,,1
Ink-makers,0,78,,,1,1,,,,4,,,,,,,2,10,,,,2,,,,13,25,,7,,13,,,,,,,,,
Iron & steel works & shops operatives (not specified),66,22141,331,,24,2478,63,1,466,128,487,11,6,280,19,200,251,3769,84,14,1,805,4,,149,589,2462,,1482,5,6963,290,33,166,6,55,299,49,65,40
Iron-foundry operatives,0,34245,139,14,454,1928,167,5,211,1670,943,367,126,1037,253,442,787,3366,952,98,68,1738,37,95,515,1809,6997,116,2952,41,4266,576,43,260,54,177,559,171,704,108
Iron-furnace operatives,0,7452,32,,33,111,1,,8,14,101,,,231,,1,85,436,113,,,207,1,317,,146,791,1,1377,,2881,78,,301,2,6,125,2,44,7
Iron and steel rolling-mill operatives,0,17249,18,,54,313,85,,81,229,343,1,,432,,180,586,816,165,4,2,46,,,9,1054,773,1,3049,,6956,77,,147,1,13,164,1366,284,
Knitting and hosiery mill operatives,0,3653,2,,,1021,,,,10,,,,12,,25,11,671,13,,,6,,,654,116,556,,49,,443,24,,,,40,,,,
Linen-mill operatives,0,706,,,,,,,,,,,,,,,,,,,,,,,,508,198,,,,,,,,,,,,,
Lumbermen and raftsmen,0,17752,187,15,1366,55,7,229,160,139,401,189,44,62,180,1765,18,128,2185,1454,105,143,21,112,156,39,1533,239,246,185,3056,5,47,32,12,222,97,88,2106,724
Macaroni and vermicelli makers,0,29,,,14,,,,,1,,,,2,3,,,,,,,2,,,,1,2,,1,,3,,,,,,,,,
Machinists,0,54755,81,113,290,3148,234,98,28,2956,1124,597,220,893,375,1128,1027,8273,1130,255,143,726,139,171,1090,1770,11413,183,3779,53,8249,1912,198,467,195,531,446,194,798,328
Manufacturers,0,42877,187,76,819,2171,194,44,167,1987,1598,790,209,434,225,883,691,4500,1294,371,101,1259,56,33,1045,2065,8859,137,3149,90,5727,826,122,312,135,490,367,252,1029,183
Marble and stone cutters,0,25831,33,18,445,788,38,6,138,1734,704,433,172,220,90,1050,563,2847,339,194,19,1324,63,59,454,644,6892,62,2113,41,2779,238,38,30,24,501,129,32,348,229
"Masons, brick and stone",0,89710,459,245,714,2603,244,103,867,5218,2450,2446,1466,976,1045,1430,2243,5739,3196,925,384,3671,394,133,841,4235,16594,629,7852,57,12474,1309,456,1357,767,827,1435,774,1997,1155
"Mast, spar, loar, and block makers",0,653,,,2,16,2,,,2,,,,3,1,55,15,160,6,1,,,,,2,26,222,,11,,97,15,,,,,13,,,4
Mattress-makers,0,375,9,1,11,6,,,8,15,4,,,17,38,,15,11,1,,8,43,,,14,14,42,7,35,,10,2,9,13,17,,14,2,,9
Meat and fruit preserving establishment employees,0,770,,,8,,,,,8,9,,,,,123,363,69,6,,,,,,,78,71,,26,,7,2,,,,,,,,
"Meat packers, curers, and picklers",0,1164,,,67,13,,,1,186,44,17,10,23,,19,12,90,13,5,,84,4,,2,19,215,,227,1,43,18,1,1,21,,,7,20,1
Mechanics (not specified),60,16514,374,193,98,1482,21,29,136,635,104,79,42,223,122,105,207,1306,152,24,184,616,32,21,285,607,5488,376,898,25,675,331,178,215,167,440,258,66,192,68
Mill and factory operatives (not specified),0,41619,848,153,281,4515,261,369,1282,1887,1010,650,186,861,160,1131,895,4629,1734,526,357,1341,47,536,152,2387,3188,325,508,216,5929,949,178,321,296,1135,1090,54,532,700
Millers,0,41582,868,259,457,443,188,92,1206,2865,2314,1484,357,787,110,502,1116,645,1585,599,410,2209,167,25,279,895,4407,1508,3137,130,4944,99,678,1454,493,354,2054,726,1406,330
"Milliners, dress and mantua makers",6,92084,287,44,1507,2270,425,21,501,5224,1410,2517,442,1113,680,2297,2041,7649,2905,620,573,1751,116,129,1570,3840,26540,184,6380,66,11330,1673,538,334,173,836,748,228,2133,983
Mineral-water makers,0,458,,,4,8,,,2,29,6,4,,4,5,,2,13,12,6,,58,5,,,36,148,,68,2,13,6,2,5,,,1,,12,7
Miners,9,152107,185,13,36330,460,,,192,6954,1109,1226,369,1743,27,24,2838,337,3426,35,,2631,21,8241,24,2556,1904,538,12501,3965,41997,14,25,1058,13,231,1025,1525,1056,17505
Mirror and picture frame makers,0,970,,,23,13,1,,1,36,4,,,17,2,4,25,126,8,,1,11,,,22,69,493,,58,,35,8,,3,,1,5,,2,2
Morocco-dressers,0,1728,,,,9,184,,,,,,,3,,,22,671,5,,,1,,,2,148,117,,2,,564,,,,,,,,,
Musical-instrument makers (not specified),0,377,1,,2,55,,,,8,3,,,10,,1,3,81,4,4,,11,1,,8,22,75,,36,,38,2,3,6,,,2,,1,
Needle-makers,9,164,,,,39,,,,,,,,,,2,4,46,,,,,,,25,2,30,,,,5,,,,,2,,,,
Officials of manufacturing companics,0,2144,15,8,107,267,28,,48,140,43,2,10,60,9,12,14,329,35,8,9,63,15,,16,144,117,13,95,3,296,36,24,42,9,19,33,28,27,20
Officials of mining companies,0,576,7,,66,5,2,,2,24,14,9,,9,,1,20,9,5,,,17,,,,10,24,,9,2,295,,,7,,,10,9,1,19
Oil-cloth makers,0,454,,,,,,,,1,,,,,,115,,7,,,,1,,,,138,120,,,,72,,,,,,,,,
Oil-refinery operatives,0,1747,13,,7,27,6,,,89,8,,,14,18,10,19,73,3,,,14,,,,59,385,3,443,,459,30,2,4,3,,,57,,1
Oil-well operators and laborers,0,3803,,,,,,,,,,,,,,,,,,,,,,,,,14,,139,,3567,,,,,,,83,,
Organ-makers,0,667,,,5,8,,,,22,1,,,1,,4,7,316,11,1,,3,,,7,22,198,,23,,19,1,2,,,,,,16,
Oyster-packers,0,443,,,,48,,,,,,,,,,,343,,,,,,,,,,2,,,,,,,,,,50,,,
Painters and varnishers,0,85123,372,148,1850,2317,396,69,697,6294,2549,1798,704,1714,1020,1547,1845,7887,2725,578,242,3226,273,104,1170,3549,18082,370,7533,148,8525,1205,358,792,371,850,836,305,1820,854
Paper-hangers,0,2490,1,,51,24,28,,,166,70,25,4,88,21,6,217,435,8,8,1,116,3,6,15,103,525,1,289,1,137,23,1,20,4,3,15,,10,65
Paper-mill operatives,59,12469,42,,21,984,110,,36,227,190,48,2,58,,479,182,3567,104,28,,21,1,,194,514,2637,63,1054,15,1388,7,44,32,,130,51,32,135,14
Patent-medicine makers,0,409,,,,2,,,1,6,,,,1,,2,,16,,,,,,,4,44,97,,33,,196,,4,,,,2,,1,
Pattern-makors,0,3970,10,3,69,191,30,2,37,171,99,,12,67,23,49,127,416,78,23,5,129,4,7,41,172,838,7,297,4,731,95,12,32,6,18,58,12,62,33
Perfumers,0,248,,,2,3,,,,3,,,,5,,,,15,,,,9,,,,5,139,,4,,61,1,,,,,,,1,
Piano-forte makers,0,2535,,,5,44,,,1,20,26,1,,18,6,3,182,767,2,,1,25,,,28,80,1147,,25,1,131,1,1,2,1,2,4,,6,5
Plasterers,0,23577,140,34,499,80,88,7,151,2357,1710,944,446,748,231,85,797,866,502,235,77,1622,127,18,,471,2589,45,2723,36,4061,141,30,316,72,12,428,174,268,447
Plaster-molders,0,223,,,7,1,,,,11,,,3,8,,1,,40,1,3,,6,,,,14,69,,11,,44,,,3,,,,,,1
Plate-printers,0,231,,,,8,,,,3,4,10,,22,,,33,20,,,,,,,,14,51,,2,,35,3,,,,,,,,26
Plumbers and gasfitters,0,11143,28,2,361,238,30,3,52,602,85,43,15,130,88,58,376,1127,137,54,9,361,7,6,42,436,4208,15,555,11,1420,154,33,59,12,17,72,26,63,208
Potters,6,5060,25,9,28,78,10,,27,309,137,125,12,55,4,38,129,134,47,11,12,131,3,,7,872,521,28,1143,6,865,,13,51,21,8,69,53,53,20
Powder-makers,-503,575,,,34,128,85,,4,1,,,,18,505,51,,27,6,,,,,,4,2,94,,23,,84,,,7,,5,,,,
Printers,505,39860,275,132,1045,631,87,73,436,2499,1146,942,409,573,,452,794,3178,889,298,211,1844,143,83,223,1110,10193,219,2648,132,4474,250,219,463,375,188,478,186,839,1218
Print-works operatives,0,3738,,,,9,,,,2,,,,1,,3,1,873,1,,,,,,420,518,191,,1,,166,1545,,,,,1,3,,3
"Publishers of books, maps, and newspapers",0,1577,5,5,36,51,2,5,13,179,55,40,15,8,2,12,18,134,31,20,7,45,4,2,,72,415,3,111,5,172,6,8,11,15,8,9,4,30,19
Pump-makers,0,1672,2,,7,73,20,,,97,193,14,2,2,,45,90,134,100,20,,12,1,,,42,217,9,210,3,249,2,7,,,10,43,3,51,14
Quarrymen,51,13580,25,2,134,1438,19,,51,806,202,276,102,98,,314,145,447,44,34,,378,27,127,212,676,2552,12,1166,1,2582,151,1,37,14,1075,130,108,73,70
Quartz and stamp mill laborers,0,617,,,100,,,,,,,,,,,,,,137,,,,,142,,,,,,,,,,,,,,,,238
Rag-pickers,0,436,18,,,1,,1,6,,,5,,25,24,,13,20,3,,,87,,,,13,99,,36,,9,5,31,8,,,5,,,27
Railroad builders and contractors,0,1292,50,,2,53,17,,39,140,45,121,45,5,7,18,22,44,79,51,,196,,1,12,25,131,8,63,,20,2,,1,1,32,10,1,21,30
Reed and shuttle makers,0,200,,,,9,,,,,,,,,,31,,80,,,,1,,1,14,9,11,,1,,31,11,,,,,1,,,
Roofers and slaters,6,2750,12,,56,49,12,,8,105,29,14,5,30,124,30,55,314,23,4,2,58,4,,17,190,715,,133,,620,23,5,13,4,40,13,4,10,23
Ropo and cordage makers,0,2675,5,,8,41,27,,,45,11,4,8,94,14,28,62,892,11,5,,140,,,3,121,736,,159,1,228,1,,2,1,,2,2,18,6
Rubber-factory operatives,0,3886,,,,981,,,,,,,,,,,,1515,,,,,,,,644,412,,,,,334,,,,,,,,
Sail and awning makers,0,2309,3,3,118,54,5,6,3,65,8,2,1,6,45,247,131,436,41,2,,29,,4,13,61,616,10,43,2,210,30,15,2,10,2,41,,21,24
Salt-makers,0,1721,,,32,,,,,1,,,2,5,1,,1,5,351,,,2,,,,,876,,225,,14,1,,1,16,,,188,,
Saw-mill operatives,6,47298,491,209,1150,208,60,9,1215,895,2721,1347,265,764,339,4187,254,814,10356,684,209,1163,18,18,1291,574,4042,316,3174,145,2600,51,271,646,446,992,496,267,4318,287
Sawyers,0,6939,14,34,54,132,51,30,13,336,307,,109,170,127,28,270,261,542,3,62,178,24,16,24,41,1224,149,279,120,1578,28,57,114,58,,352,,37,117
Scale and rule makers,18,416,,,,137,,,,15,1,,,7,,,4,15,,,,3,,,,30,80,,21,,48,1,,,,36,,,,
Screw-makers,0,780,,,,123,,,,4,,,,,4,,,61,,,,,,,,2,25,,39,,8,513,,,,,,,1,
Sewing-machine factory operatives,0,3881,,,8,1279,15,,,4,33,,,4,,,3,330,,10,,1,,,,10,2039,,85,,35,18,,,,,2,,5,
Sewing-machine operators,0,3042,1,,,6,,,2,,13,,,,3,7,12,710,18,,,9,,,22,78,1569,,3,,571,12,,,,,2,,,4
Shingle and lath makers,0,3788,5,34,23,13,3,8,27,83,134,21,25,51,39,425,62,10,757,46,42,28,4,,22,18,421,263,226,21,278,28,4,30,92,19,44,27,415,40
Ship-carpenters,0,15900,71,20,464,453,269,39,52,465,210,35,3,62,274,2256,666,2369,538,11,6,335,2,1,113,688,3431,119,485,65,1215,186,78,34,60,53,293,65,263,151
Ship-smiths,0,396,,,32,3,2,,,5,,,,1,,29,26,37,,,,,,,,7,179,,4,,62,,3,,,,6,,,
Ship-calkers,0,3068,10,1,157,64,8,11,4,100,37,25,2,51,106,378,234,421,58,3,4,109,2,2,2,39,818,15,63,,176,17,5,1,9,1,69,,47,19
Ship-riggers,1,1057,,,40,24,4,,,,,,,2,1,121,71,257,1,,,3,,,,19,328,1,1,,117,9,8,,,,36,,,13
"Shirt, cuff, and collar makers",0,4080,3,,11,695,2,,2,85,37,21,2,6,,53,70,268,11,1,,120,17,,54,253,1913,,67,,348,14,,2,3,5,1,,3,13
"Shot, cartridge, and fuse makers",0,186,,,4,121,,,,1,,1,,,,,,13,,,,1,,,,,38,,,,5,,1,,,,,,,1
Silk-mill operatives,0,3256,,,,,,,,,,,,,,,,431,,,,,,,,2515,309,,1,,,,,,,,,,,
Spring and axle makers,0,301,,,,,15,,,,,,,,,,,45,,,,,,,,85,114,,42,,,,,,,,,,,
Starch-makers,-9,220,,,3,,,,,13,12,,,,,,,11,,,,,,,,4,123,,55,,6,2,,,,,,,,
"Stave, shook, and heading makors",60,1858,1,1,,1,15,,,6,204,,,14,2,71,49,18,288,9,,,,,5,8,486,2,367,,91,,,31,,,6,66,57,
Steam-boiler makers,90,6958,31,2,212,76,65,6,184,301,215,89,,88,88,61,240,400,213,21,22,226,31,35,35,479,1848,,858,4,586,130,39,33,7,9,67,23,73,71
Steam-engine makers,0,4172,42,4,70,25,58,3,108,219,221,25,,83,8,2,252,97,52,,20,89,2,4,209,149,772,,486,8,973,37,4,12,,1,10,,57,70
Stercotypers,0,333,,,2,21,7,,,11,,,,1,,,8,89,,1,1,8,,,,5,120,,15,,32,1,,,1,1,,,,9
"Stove, furnace, and grate makers",0,1543,,,,7,3,,,11,26,1,,1,,1,10,73,20,1,1,11,1,,,17,534,,367,,410,20,,1,,1,2,2,17,5
Straw-workers,0,2029,,,,291,1,,,,,1,,,,54,3,1436,3,,,1,,,37,16,87,,,,18,71,1,,4,,,1,,4
Sugar makers and refiners,0,1609,,,89,4,,,,4,6,1,,,59,24,103,46,2,,,68,,,,83,884,,3,,223,7,1,,1,,1,,,
"Tailors, tailoresses, and seamstresses",-17,161820,1076,265,1708,2363,255,275,2604,7919,3506,1286,534,3953,2559,2938,5868,16787,3121,731,287,5243,217,115,888,6110,41627,1201,14180,90,19755,797,1990,1328,739,679,3130,730,2669,2314
Tinners,0,30524,141,81,998,684,126,25,245,1953,1101,736,254,605,333,487,1256,1594,870,262,145,1202,95,41,156,1153,6585,127,2909,83,3428,256,134,335,269,245,391,145,693,381
Tool and cutlery makers,6,5351,1,2,19,910,19,,2,31,67,8,,11,6,110,37,1383,26,24,1,20,2,,120,305,1255,,440,,427,56,,,1,60,,2,,
Trunk and valise makers,0,1845,1,,39,11,,,,135,34,9,1,49,5,2,54,147,37,,,134,,1,2,484,241,,206,,185,8,,23,1,,,,31,5
Tobacco-factory operatives,60,11985,1,,2,4,3,,57,187,78,,,1000,50,,84,21,67,,,696,,,,60,2029,748,543,,154,,,5,1,,6073,13,49,
Truss-makers,0,74,,,,2,,,,,,,,,,,1,15,6,,,,,,,2,24,,8,,16,,,,,,,,,
Type founders and cutters,0,649,,,,33,,,,15,,,,5,1,,5,86,1,,,28,,,,19,178,,68,,204,,,1,,,2,,3,
Umbrella and parasol makers,0,1439,,,9,36,,,1,13,6,1,1,5,4,1,25,26,9,1,,5,,,2,65,603,,23,,580,10,5,,,,1,2,1,4
Upholsterers,60,5736,25,6,267,78,13,,37,334,59,39,25,87,4,47,167,780,101,13,12,154,10,17,22,195,1959,20,337,10,541,52,22,34,9,8,38,,78,76
Wheelwrights,9,20942,421,162,398,289,227,133,712,535,332,294,144,343,203,389,1026,1152,583,226,171,599,37,120,284,1198,2208,530,660,72,3202,183,246,696,421,449,1311,229,472,276
Whip-makers,0,609,,,15,6,,,,8,3,,,2,,,8,336,2,,,22,,,6,1,60,,22,,112,,,,,1,,,,5
Window-shade makers,0,245,,,,,,,,3,7,,,1,,,2,55,2,1,,,,,,8,144,,6,,15,,,,,,,,1,
Wire makers and workers,0,1834,,,13,174,,,,28,,,,5,4,19,21,776,17,,,1,,,6,216,315,,85,,131,13,,,1,,,,9,
Woodchoppers,6,8338,597,107,1151,58,4,176,418,315,248,90,136,178,457,12,73,122,156,4,238,259,11,503,240,83,184,41,343,47,380,17,54,363,326,73,319,5,35,509
Wood turners and carvers,9,7947,19,5,152,344,18,4,15,365,250,85,14,108,20,54,193,1013,205,24,6,200,9,1,81,392,2459,7,698,8,841,75,8,35,9,17,18,7,120,59
Woolen-mill operatives,95,58836,41,5,188,4499,112,,185,581,1083,431,49,423,,2432,168,19863,306,34,21,241,,5,3824,732,6869,67,1136,21,7204,5993,15,173,31,1380,158,132,324,15
Column Error,,18,9,0,31,72,-13,1,15,114,309,23,153,173,128,243,6,37,211,9,12,75,7,5,105,-2,11,9,262,-65,102,18,168,6,-11,60,18,-58,-50,225
