Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Employees of trading and transportation co's,-7,4152,1,45,28,614,46,,1,15,2,24,5,135,19,6,193,581,15,202,1,17,1,10,88,1163,132,1,542,31,10,70,10,30,50,,14,3,1,53
Employees of banks (not clerks),0,424,6,1,13,2,10,,1,40,8,,12,51,4,1,10,44,8,,,17,,,1,38,93,,7,,29,2,,4,5,2,4,5,,6
Employees of express companies (not clerks),90,8554,36,2,294,215,13,4,89,953,202,161,67,102,15,76,62,1289,141,68,25,295,61,21,94,441,1813,27,689,11,438,192,15,185,21,52,14,17,193,71
Employees of insurance companies (not clerks),0,11611,83,35,310,315,15,15,145,1218,408,412,125,228,66,204,169,816,549,158,66,717,58,21,104,388,2117,80,881,11,805,2,49,143,47,119,123,38,513,58
Employees of railroad companies (not clerks),0,154027,3967,425,1742,5020,234,278,4920,14946,7377,7155,3287,3086,559,1797,2560,5643,3257,2500,1358,7710,1283,240,1819,5584,18454,2175,11318,73,18081,449,1112,3015,592,1570,2944,2504,2625,2368
Employees of street railroad companies (not clerks),0,5103,22,,166,71,,,14,195,63,,,70,205,11,125,541,34,,,238,,,,145,1405,7,193,,1348,76,20,29,9,,11,,7,98
Employees of telegraph companies (not clerks),91,8316,54,27,178,137,26,44,84,746,505,37,65,126,77,135,212,323,204,99,59,296,73,58,56,312,1320,41,916,19,1210,42,32,99,72,49,32,49,183,228
Hucksters,9,17362,144,32,421,242,57,16,296,707,482,136,55,276,891,349,1402,1135,347,10,33,542,9,5,157,722,2903,169,1402,37,2393,185,304,172,125,70,525,64,119,419
Laborers,0,14882,332,11,914,98,15,63,73,1760,217,58,10,136,146,191,524,1255,176,33,10,1594,19,36,61,377,3963,62,1249,46,399,303,77,42,61,10,113,5,303,140
Milkmen and milkwomen,0,3728,2,,46,59,13,,,277,17,20,6,83,78,30,110,350,50,9,24,70,,23,26,278,1585,,71,6,330,26,3,4,14,2,20,,72,24
Mule-packers,0,473,,,89,,,,,,,,,,,1,,,,,,,,150,,,3,,,41,,,,,,,,,,189
Newspaper criers and carriers,0,2002,13,3,87,8,4,,17,100,16,21,7,53,81,2,64,85,11,6,1,187,1,6,5,34,544,3,155,4,380,2,17,9,5,,37,3,7,24
Officials of trading and transportation co's,0,976,3,3,28,61,9,1,8,43,6,34,8,18,50,1,30,123,45,15,3,33,1,5,17,94,162,4,46,14,40,11,10,13,4,,6,1,9,17
Officials of banks,9,2738,13,1,36,181,13,1,22,84,68,31,7,27,45,85,56,432,74,16,5,97,5,3,48,217,380,13,154,2,318,77,20,14,,59,46,24,27,28
Officials of express companies,-7,75,,,3,2,,,8,2,,,,,,,11,2,1,1,1,4,1,,,5,19,,1,,11,9,,1,,,,,,
