Civil Divisions,All ages Total,All ages Male,All ages Female,5 to 18 Male,5 to 18 Female,18 to 45  Male,21 and upward Male,State,County
Bayonne ,3834,1917,1917,507,509,865,1033,New Jersey,Hudson
Harrison ,4129,2070,2059,640,630,810,1004,New Jersey,Hudson
Hoboken ,20297,10090,10207,2616,2612,4656,5347,New Jersey,Hudson
Jersey City ,82546,40602,41944,11238,11784,18252,21345,New Jersey,Hudson
North Bergen ,3032,1621,1411,509,417,627,811,New Jersey,Hudson
Union ,6737,3475,3262,999,1645,1403,1778,New Jersey,Hudson
Union ,4640,2379,2261,666,711,967,1236,New Jersey,Hudson
West Hoboken ,4132,1983,2149,638,647,698,687,New Jersey,Hudson
Alexandria ,3341,1678,1663,497,444,659,888,New Jersey,Hunterdon
Clinton ,3134,1581,1553,484,467,652,808,New Jersey,Hunterdon
Lebanon ,3561,1747,1814,519,604,696,809,New Jersey,Hunterdon
Raritan ,3654,1766,1888,467,485,683,978,New Jersey,Hunterdon
Readington ,3070,1571,1499,445,393,577,854,New Jersey,Hunterdon
Wes Amwell ,4872,2337,2535,652,773,923,1222,New Jersey,Hunterdon
Lambertville ,3842,1808,2034,508,627,733,947,New Jersey,Hunterdon
Hamilton ,5417,2754,2663,923,810,987,1318,New Jersey,Mercer
Hopewell ,4276,2143,2133,667,613,802,1106,New Jersey,Mercer
Princeton ,3986,2028,1958,582,512,894,973,New Jersey,Mercer
Trenton ,22874,10928,11946,3284,3385,4392,5629,New Jersey,Mercer
Monroe ,3253,1653,1600,542,513,586,823,New Jersey,Middlesex
New Brunswick ,15058,7204,7854,2272,2286,2820,3617,New Jersey,Middlesex
Raritan ,3460,1719,1741,465,412,753,950,New Jersey,Middlesex
South Amboy ,4525,2376,2149,623,659,1083,1251,New Jersey,Middlesex
South Brunswick ,3779,1891,1888,615,557,647,946,New Jersey,Middlesex
Woodbridge ,3717,1933,1784,533,476,825,1601,New Jersey,Middlesex
Freehold ,4231,2050,2181,628,627,807,1027,New Jersey,Monmouth
Howell ,3371,1766,1605,629,503,617,763,New Jersey,Monmouth
Middletown ,4639,2277,2362,717,747,852,1127,New Jersey,Monmouth
Ocean,6189,3043,3146,876,952,1202,1584,New Jersey,Monmouth
Raritan ,3443,1692,1751,536,529,648,842,New Jersey,Monmouth
Shrewsbury ,5440,2634,2806,750,778,1015,1006,New Jersey,Monmouth
Upper Freehold ,3640,1788,1852,552,573,683,802,New Jersey,Monmouth
Boonton ,3458,1742,1716,549,550,687,858,New Jersey,Morris
Chatham ,3715,1775,1940,521,529,685,942,New Jersey,Morris
Hanover ,3623,1779,1844,529,484,643,980,New Jersey,Morris
Morris ,5674,2618,3056,764,778,1053,1410,New Jersey,Morris
Randolph,5111,2736,2375,727,673,1268,1487,New Jersey,Morris
Rockaway ,6445,3506,2939,935,906,1565,1702,New Jersey,Morris
Roxbury ,3320,1718,1602,493,521,686,809,New Jersey,Morris
Dover ,3044,1538,1506,501,473,555,761,New Jersey,Ocean
Acquackanonck,4368,2167,2201,551,637,994,1212,New Jersey,Passaic
Paterson ,33579,16451,17128,4546,4757,7042,8616,New Jersey,Passaic
Pilesgrove ,3385,1633,1752,488,546,611,847,New Jersey,Salem
Salem ,4555,2126,2429,634,661,828,1105,New Jersey,Salem
Upper Alloway's Creek ,3062,1568,1494,522,466,579,767,New Jersey,Salem
Upper Penns Neck ,3178,1658,1520,506,491,650,824,New Jersey,Salem
Bridgewater ,5883,2853,3030,810,836,1119,1513,New Jersey,Somerset
Franklin ,3912,1954,1958,560,531,752,1018,New Jersey,Somerset
Hillsborough ,3443,1705,1738,509,471,633,916,New Jersey,Somerset
Wantage ,3636,1872,1764,478,475,828,1077,New Jersey,Sussex
Elizabeth ,20832,10042,10790,2780,2998,4337,5243,New Jersey,Union
Plainfield ,5095,2351,2744,629,673,994,1320,New Jersey,Union
Raliway ,6258,2959,3299,828,836,1227,1592,New Jersey,Union
Phillipsburg ,5932,3085,2847,870,846,1404,1597,New Jersey,Warren
Santa Fe,4765,2330,2435,652,779,1091,1247,New Mexico,Santa Fe
Albany,69422,33604,35818,9486,9881,14190,18056,New York,Albany
Bethlehem,6950,3539,3411,1114,962,1320,1772,New York,Albany
Coeymans ,3077,1553,1524,444,435,579,817,New York,Albany
Cohoes ,15357,6908,8499,2508,2841,2579,3093,New York,Albany
Guilderland ,3132,1575,1557,455,438,591,834,New York,Albany
New Scotland,3411,1727,1684,508,476,660,909,New York,Albany
Watervliet ,22609,11335,11274,3438,3329,4438,5756,New York,Albany
Green Island ,3135,1590,1545,480,474,679,811,New York,Albany
West Troy ,10693,5195,5498,1559,1570,2088,2628,New York,Albany
Wellsville ,3781,1956,1825,608,600,735,982,New York,Allegany
Binghamton ,12692,6117,6575,1505,1683,2818,3503,New York,Broome
Colesville ,3400,1708,1692,446,439,657,974,New York,Broome
Sanford ,3249,1604,1645,511,551,568,810,New York,Broome
Auburn ,17225,8893,8332,2077,2135,4292,5357,New York,Cayuga
Chautauqua,3064,1580,1484,362,373,673,957,New York,Chautauqua
Dunkirk ,6912,3392,3520,1134,1163,1167,1607,New York,Chautauqua
Dunkirk ,5231,2598,2633,889,882,896,1219,New York,Chautauqua
Ellicott ,6679,3313,3366,917,931,1491,1843,New York,Chautauqua
Jamestown ,5336,2612,2724,699,754,1163,1469,New York,Chautauqua
Hanover ,4037,2044,1993,572,516,764,1138,New York,Chautauqua
Harmony ,3416,1674,1742,402,492,652,927,New York,Chautauqua
Pomfret ,4306,2044,2262,576,592,743,1141,New York,Chautauqua
Westfield ,3645,1762,1883,508,504,665,981,New York,Chautauqua
Elmira ,15863,7741,8122,2179,2239,3306,4184,New York,Chemung
Greene ,3537,1737,1800,446,486,643,1010,New York,Chenango
Norwich ,5601,2808,2793,665,719,1277,1702,New York,Chenango
Norwich ,4279,2149,2130,506,536,993,1308,New York,Chenango
Oxford ,3278,1636,1642,337,312,736,1033,New York,Chenango
Blackbrook ,3561,1859,1702,659,638,634,766,New York,Clinton
Champlain ,5080,2528,2552,860,781,828,1179,New York,Clinton
Chazy ,3206,1571,1635,530,494,506,761,New York,Clinton
Ellenburgh ,3042,1558,1484,508,500,525,699,New York,Clinton
Mooers ,4634,2314,2320,815,776,720,1049,New York,Clinton
Plattsburgh ,8414,4106,4308,1406,1353,1524,1996,New York,Clinton
Plattsburgh ,5139,2462,2677,883,801,953,1190,New York,Clinton
Saranac ,3802,1950,1852,685,667,633,846,New York,Clinton
Chatham ,4372,2168,2204,544,551,828,1241,New York,Columbia
Claverack ,3671,1787,1884,486,499,716,984,New York,Columbia
Hudson ,8615,3968,4647,1142,1218,1493,2109,New York,Columbia
Kinderhook ,4055,1869,2186,531,545,721,1030,New York,Columbia
Cortlandville ,6082,2920,3162,697,776,1210,1742,New York,Cortland
Cortland ,3066,1431,1635,301,399,649,886,New York,Cortland
Homer ,3813,1860,1953,487,460,712,1072,New York,Cortland
Franklin ,3283,1597,1686,444,436,610,910,New York,Delaware
Hancock,3069,1619,1450,511,466,615,826,New York,Delaware
Middletown ,3035,1523,1512,412,447,607,824,New York,Delaware
Tompkins ,4046,2109,1937,618,531,763,1081,New York,Delaware
Walton ,3216,1650,1566,445,425,649,918,New York,Delaware
Fishkill ,11752,5837,5915,1635,1606,2495,3128,New York,Dutchess
Poughkeopsie ,4009,1792,2217,454,683,779,1043,New York,Dutchess
Poughkeepsie ,20080,9496,10584,2776,2916,3908,4996,New York,Dutchess
Red Hook ,4350,2210,2140,688,647,817,1071,New York,Dutchess
Rhinebeck ,3719,1806,1913,502,496,667,999,New York,Dutchess
Amberst ,4555,2310,2245,832,775,667,1067,New York,Erie
Buffalo ,117714,58712,59002,18208,18482,23127,29051,New York,Erie
Clarence ,3147,1590,1557,520,490,516,778,New York,Erie
Concord ,3171,1579,1592,444,448,580,843,New York,Erie
Lancaster ,4336,2159,2177,737,779,600,1000,New York,Erie
Newstead ,3380,1715,1665,522,551,587,877,New York,Erie
Tonawanda ,3039,1490,1549,461,554,531,711,New York,Erie
West Seneca ,3196,1692,1504,696,550,447,727,New York,Erie
Moriah ,4683,2452,2231,714,733,1076,1256,New York,Essex
Malone,7186,3551,3635,1156,1091,1255,1680,New York,Franklin
Johnstown ,12273,5896,6377,1638,1682,2511,3217,New York,Fulton
Gloversville ,4518,2053,2465,503,581,1001,1194,New York,Fulton
Johnstown ,3282,1581,1701,450,449,674,843,New York,Fulton
Batavia ,6485,3140,3345,975,966,1106,1674,New York,Genesee
Batavia ,3893,1817,2073,546,547,692,998,New York,Genesee
Le Roy ,4627,2254,2373,631,647,849,1225,New York,Genesee
Catskill ,7677,3759,3925,1059,1002,1537,2010,New York,Greene
Catskill ,3791,1814,1977,476,484,797,1021,New York,Greene
Coxsackie,3829,1839,1990,495,570,740,1032,New York,Greene
Frankfort ,3065,1529,1536,441,414,568,822,New York,Herkimer
German Flats ,5718,3012,2706,646,648,1483,1846,New York,Herkimer
Little Falls ,5612,2700,2912,729,758,1167,1527,New York,Herkimer
Adams ,3348,1587,1761,382,403,586,947,New York,Jefferson
Alexandria ,3087,1530,1557,466,479,514,782,New York,Jefferson
Antwerp ,3310,1700,1610,440,452,720,938,New York,Jefferson
Brownville,3219,1588,1631,455,450,606,870,New York,Jefferson
Cape Vincent ,3342,1679,1663,413,539,599,820,New York,Jefferson
Clayton ,4082,2047,2035,652,626,738,1025,New York,Jefferson
Ellisburgh ,4822,2361,2461,599,613,904,1330,New York,Jefferson
Watertown ,9336,4483,4853,1205,1257,1963,2489,New York,Jefferson
Wilna ,4060,2010,2050,583,591,789,1070,New York,Jefferson
Brooklyn ,396099,190028,206071,54555,56902,80742,98921,New York,Kings
Flatbush,6309,3044,3265,718,572,1234,1798,New York,Kings
New Lots ,9800,4963,4837,1528,1447,1909,2502,New York,Kings
New Utrecht ,3296,1641,1655,383,454,794,979,New York,Kings
Avon ,3038,1541,1497,440,382,613,822,New York,Livingston
Geneseo ,3032,1497,1535,449,435,561,780,New York,Livingston
Mount Morris ,3877,1904,1973,538,550,712,1025,New York,Livingston
North Dansville ,4015,1873,2142,525,638,690,988,New York,Livingston
Dansville ,3387,1506,1821,437,551,576,831,New York,Livingston
Brookfield ,3565,1791,1774,446,430,676,1055,New York,Madison
Cazenovia ,4265,2108,2157,567,515,816,1219,New York,Madison
Eaton ,3690,1842,1848,463,436,734,1086,New York,Madison
Hamilton ,3687,1791,1896,363,412,776,1128,New York,Madison
Lenox ,9816,4980,4836,1302,1316,2123,2889,New York,Madison
Oneida ,3262,1616,1646,457,460,684,879,New York,Madison
Sullivan ,4921,2458,2463,718,720,932,1333,New York,Madison
Brighton ,4304,2326,1978,623,574,916,1294,New York,Monroe
Gates ,3541,1709,1832,572,640,556,809,New York,Monroe
Greece ,4314,2193,2121,670,640,779,1127,New York,Monroe
Ironduquoit ,3990,1980,2010,730,724,594,880,New York,Monroe
Perrinton ,3261,1649,1612,429,447,650,940,New York,Monroe
Rochester ,62386,30230,32156,9330,9397,11861,15294,New York,Monroe
Sweden ,4558,2219,2339,634,620,879,1201,New York,Monroe
Amsterdam ,7706,3755,3951,990,1122,1632,2084,New York,Montgomery
Amsterdam ,5426,2598,2828,667,784,1195,1446,New York,Montgomery
Canajoharie ,4256,2131,2125,611,633,821,1130,New York,Montgomery
Florida ,3002,1556,1446,409,393,645,873,New York,Montgomery
Minden ,4600,2294,2306,644,598,964,1264,New York,Montgomery
Mohawk ,3015,1506,1509,452,430,697,828,New York,Montgomery
New York ,942292,457117,485175,122626,127727,213937,249990,New York,New York
Hartland ,3226,1617,1609,463,486,576,870,New York,Niagara
Lockport ,3032,1554,1478,457,441,537,827,New York,Niagara
Lockport ,12426,5880,6546,1688,1826,2388,3199,New York,Niagara
Newfane ,3097,1558,1539,422,456,599,809,New York,Niagara
Niagara ,6832,3315,3517,1145,1172,1159,1530,New York,Niagara
Niagara Falls ,3006,1407,1599,451,471,518,688,New York,Niagara
Royalton ,4726,2379,2347,660,662,871,1770,New York,Niagara
Wheatfield ,3406,1723,1683,583,593,537,799,New York,Niagara
Boonville ,4106,2082,2024,575,584,810,1142,New York,Oneida
Camden ,3687,1815,1872,502,510,703,1032,New York,Oneida
Kirkland ,4912,2433,2479,744,743,934,1256,New York,Oneida
New Hartford ,4037,1849,2188,548,646,718,936,New York,Oneida
Paris ,3575,1767,1808,483,457,654,981,New York,Oneida
Rome ,11000,5460,5540,1463,1557,2146,3003,New York,Oneida
Trenton ,3156,1509,1647,369,391,562,903,New York,Oneida
Utica ,28804,13578,15226,3755,4004,5654,7381,New York,Oneida
Verona ,5757,2917,2840,837,848,1057,1551,New York,Oneida
Vienna ,3180,1659,1521,471,427,593,880,New York,Oneida
Whitestown ,4339,2068,2271,595,599,803,1097,New York,Oneida
Clay ,3156,1633,1523,493,437,590,871,New York,Onondaga
De Witt,3105,1659,1446,459,422,667,906,New York,Onondaga
Elbridge ,3796,1878,1918,543,535,705,996,New York,Onondaga
Geddes ,4505,2270,2235,691,691,907,1138,New York,Onondaga
Geddes ,3629,1823,1806,562,553,723,911,New York,Onondaga
Lysander ,4944,2502,2442,711,681,1021,1360,New York,Onondaga
Manlius ,5833,2914,2919,904,806,1035,1546,New York,Onondaga
Onondaga ,5530,2800,2730,770,728,1008,1589,New York,Onondaga
Pompey ,3314,1639,1675,550,432,584,931,New York,Onondaga
Skancateles ,4524,2194,2330,603,610,863,1212,New York,Onondaga
Syracuse ,43051,21192,21859,5888,6191,9157,11468,New York,Onondaga
Van Buren ,3038,1551,1487,398,402,625,859,New York,Onondaga
Canandaigua ,7274,3500,3774,991,993,1336,1927,New York,Ontario
Canandaigua ,4862,2260,2602,626,659,893,1269,New York,Ontario
Manchester ,3546,1697,1849,447,510,652,965,New York,Ontario
Phelps ,5130,2545,2585,686,695,985,1467,New York,Ontario
Seneca ,9188,4527,4661,1212,1136,1608,2501,New York,Ontario
Geneva ,5521,2638,2883,724,692,901,1439,New York,Ontario
Cornwall ,5989,3062,2927,933,850,1272,1644,New York,Orange
Deerpark ,9387,4932,4455,1359,1315,2277,2621,New York,Orange
Port Jervis ,6377,3347,3030,882,865,1629,1805,New York,Orange
Goshen ,3903,1905,1998,460,520,785,1091,New York,Orange
Monroe ,4666,2376,2290,723,761,918,1191,New York,Orange
Montgomery ,4536,2260,2276,595,541,938,1295,New York,Orange
Newburgh ,3541,1764,1777,531,476,622,920,New York,Orange
Newburgh ,17014,8088,8926,2256,2325,3411,4247,New York,Orange
Wallkill ,9477,4692,4785,1256,1287,1970,2619,New York,Orange
Middletown ,6049,2949,3100,776,818,1291,1648,New York,Orange
Warwick ,5736,2866,2870,837,815,1095,1492,New York,Orange
Barre ,6756,3254,3502,899,906,1255,1845,New York,Orleans
Albion ,3322,1548,1774,414,458,585,864,New York,Orleans
Ridgeway ,5096,2520,2576,692,732,974,1384,New York,Orleans
Shelby ,3366,1683,1683,499,491,616,884,New York,Orleans
Constantia ,3437,1754,1683,542,514,645,892,New York,Oswego
Granby ,3972,2025,1947,634,568,688,1032,New York,Oswego
Hannibal ,3234,1619,1615,460,439,559,880,New York,Oswego
Hastings ,3058,1557,1501,431,436,598,856,New York,Oswego
Mexico ,3802,1785,2017,432,527,689,1088,New York,Oswego
Oswego ,3043,1508,1535,462,460,513,786,New York,Oswego
Oswego ,20910,10222,10688,3279,3445,3965,5002,New York,Oswego
Richland ,3975,1976,1999,547,529,756,1119,New York,Oswego
Schroeppel ,3987,2054,1933,583,533,848,1102,New York,Oswego
Scriba ,3065,1537,1598,466,429,548,829,New York,Oswego
Volney ,6565,3184,3381,901,958,1222,1776,New York,Oswego
Fulton,3507,1651,1856,456,526,652,919,New York,Oswego
Otsego ,4590,2249,2341,537,532,971,1323,New York,Otsego
Phillipstown ,5117,2506,2611,722,760,1027,1362,New York,Putnam
Cold Spring ,3086,1486,1600,430,439,617,812,New York,Putnam
Flushing ,14650,7354,7296,2143,2041,3071,3936,New York,Queens
College Point,3652,1838,1814,505,546,685,908,New York,Queens
Flushing,6223,2950,3273,946,886,1145,1506,New York,Queens
Hempstead,13999,6828,7171,2106,2131,2375,3512,New York,Queens
Jamaica,7745,3889,3856,1065,1059,1550,2130,New York,Queens
Jamaica ,3791,1831,1960,517,502,710,987,New York,Queens
Newtown ,20274,10072,10202,2933,3048,4071,5269,New York,Queens
Astoria ,5204,2467,2737,676,783,1027,1321,New York,Queens
Long Island City ,3876,1940,1927,570,576,849,999,New York,Queens
North Hempstead ,6540,3316,3224,866,844,1438,1868,New York,Queens
Oyster Bay ,10595,5258,5337,1515,1460,1944,2844,New York,Queens
Brunswick ,3128,1623,1505,467,374,633,907,New York,Rensselaer
Greenbush ,6202,3144,3058,913,938,1259,1657,New York,Rensselaer
Hoosick ,5728,2887,2841,785,781,1247,1458,New York,Rensselaer
Lansingburgh,6804,3201,3603,890,983,1243,1705,New York,Rensselaer
Lansingburgh,6372,2970,3432,827,939,1146,1588,New York,Rensselaer
North Greenbush ,3058,1517,1541,429,471,604,785,New York,Rensselaer
Pittstown ,4093,2030,2063,559,551,765,1124,New York,Rensselaer
Schaghticoke,3125,1564,1561,463,447,617,854,New York,Rensselaer
Schodack,4442,2278,2164,611,597,911,1271,New York,Rensselaer
Troy ,46465,22366,24099,6533,6615,9561,11883,New York,Rensselaer
Castleton ,9504,4725,4779,1211,1268,1850,2672,New York,Richmond
New Brighton ,7495,3822,3673,980,992,1442,2160,New York,Richmond
Middletown ,7589,3699,3890,1066,1059,1451,1916,New York,Richmond
Northfield,5949,2931,3018,843,871,1125,1541,New York,Richmond
Port Richmond,3028,1473,1555,416,454,598,766,New York,Richmond
Southfield,5082,2411,2671,748,782,829,1204,New York,Richmond
Westfield,4905,2398,2507,629,692,963,1337,New York,Richmond
Clarkstown,4137,2082,2055,649,616,704,1078,New York,Rockland
Haverstraw ,6412,3452,2960,969,930,1600,1885,New York,Rockland
Warren ,3469,1790,1679,510,513,795,976,New York,Rockland
Orangetown ,6810,3237,3573,908,979,1234,1760,New York,Rockland
Nyack ,3438,1641,1797,439,476,652,906,New York,Rockland
Ramapo ,4649,2266,2383,666,701,811,1206,New York,Rockland
Stony Point ,3205,1761,1444,476,453,772,905,New York,Rockland
Halfmoon ,3093,1550,1543,421,411,593,841,New York,Saratoga
Milton ,4946,2370,2576,678,671,855,1208,New York,Saratoga
Saratoga ,4052,1952,2100,549,563,748,1081,New York,Saratoga
Saratoga Springs ,8537,3960,4577,1028,1132,1556,2234,New York,Saratoga
Saratoga Springs ,7516,3436,4080,870,992,1373,1957,New York,Saratoga
Stillwater ,3401,1680,1721,448,485,652,906,New York,Saratoga
Waterford ,3631,1745,1886,503,492,692,936,New York,Saratoga
Waterford ,3071,1451,1620,411,412,592,706,New York,Saratoga
Duanesburgh,3042,1478,1564,431,433,508,806,New York,Schenectady
Schenectady,11026,5280,5746,1386,1569,2151,2857,New York,Schenectady
Middleburgh,3180,1568,1612,471,501,584,799,New York,Schoharie
Schoharie,3207,1602,1605,458,455,612,829,New York,Schoharie
Dix ,4282,2082,2200,534,540,861,1106,New York,Schuyler
Hector ,4905,2420,2485,637,612,950,1414,New York,Schuyler
Fayette ,3364,1710,1654,447,413,683,965,New York,Seneca
Seneca Falls ,6860,3356,3504,961,984,1328,1889,New York,Seneca
Waterloo ,4469,2120,2349,678,647,753,1097,New York,Seneca
Waterloo ,4086,1921,2165,614,593,688,998,New York,Seneca
Bath ,6236,3067,3169,834,865,1239,1681,New York,Steuben
Corning ,6502,3243,3257,1030,1025,1172,1627,New York,Steuben
Corning ,4018,2027,1991,661,631,731,974,New York,Steuben
Hornellsville ,5837,2929,2908,776,828,1309,1630,New York,Steuben
Hornellsville ,4552,2260,2292,566,639,1079,1293,New York,Steuben
Brasher ,3342,1660,1682,603,577,504,709,New York,St. Lawrence
Canton ,6014,2919,3095,862,897,1083,1517,New York,St. Lawrence
De Kalb ,3116,1572,1544,482,590,565,765,New York,St. Lawrence
Gouverneur ,3539,1782,1757,486,491,699,959,New York,St. Lawrence
Lisbon ,4475,2237,2238,740,663,747,1128,New York,St. Lawrence
Ogilensburg ,10076,4927,5149,1541,1577,1936,2383,New York,St. Lawrence
Oswegatchie ,3018,1482,1536,445,467,545,768,New York,St. Lawrence
Potsdam ,7774,3817,3957,1055,1121,1518,1977,New York,St. Lawrence
Stockholm ,3819,1882,1937,619,615,643,924,New York,St. Lawrence
Brookhaven ,10159,5026,5133,1480,1472,1759,2689,New York,Suffolk
Huntington ,10704,5451,5253,1500,1415,2177,3038,New York,Suffolk
Islip ,4597,2285,2312,702,681,807,1192,New York,Suffolk
Riverhead ,3461,1713,1748,494,496,628,951,New York,Suffolk
Southampton ,6135,2968,3167,875,828,1020,1614,New York,Suffolk
Southold ,6715,3291,3424,907,914,1232,1833,New York,Suffolk
Fallsburgh ,3206,1662,1544,536,521,594,844,New York,Sullivam
Liberty ,3389,1705,1684,584,572,508,809,New York,Sullivam
Mamakating ,4866,2648,2218,735,651,1119,1460,New York,Sullivam
Thompson ,3514,1769,1745,544,513,631,918,New York,Sullivam
Barton ,5087,2567,2520,648,695,1087,1472,New York,Tioga
Candor ,4250,2119,2131,580,532,799,1186,New York,Tioga
Owego ,9442,4701,4741,1246,1204,1912,2675,New York,Tioga
Owego ,4756,2263,2493,592,612,987,1333,New York,Tioga
Tioga ,3272,1648,1642,455,454,645,888,New York,Tioga
Dryden ,4818,2428,2390,601,501,958,1393,New York,Tompkins
Groton ,3512,1720,1792,437,455,704,1017,New York,Tompkins
Ithaca ,10107,5088,5019,1166,1179,2536,2900,New York,Tompkins
Ithaca ,8462,4231,4231,951,995,2167,2409,New York,Tompkins
Ulysses ,3271,1585,1686,420,431,585,919,New York,Tompkins
Esopus ,4557,2308,2249,753,753,798,1130,New York,Ulster
Kingston ,21943,10997,10946,3372,3328,4344,5457,New York,Ulster
Kingston ,6315,3036,3279,868,871,1250,1595,New York,Ulster
Rondout ,10114,5129,4985,1604,1568,2041,2480,New York,Ulster
Marbletown ,4223,2130,2093,667,643,783,1053,New York,Ulster
Olivo ,3083,1587,1496,509,484,568,798,New York,Ulster
Rochester ,4088,2011,2077,712,722,739,954,New York,Ulster
Rosendale ,3625,1921,1704,561,562,763,980,New York,Ulster
Saugerties ,10455,5283,5172,1625,1611,2008,2682,New York,Ulster
Wawarsing ,8151,4029,4122,1350,1446,1597,1957,New York,Ulster
Queensbury ,8387,4111,4276,1245,1338,1596,2118,New York,Warren
Easton ,3072,1577,1495,448,390,557,878,New York,Washington
Fort Ann ,3329,1695,1641,465,480,663,926,New York,Washington
Fort Edward ,5125,2663,2462,746,722,1157,1385,New York,Washington
Fort Edward ,3492,1798,1694,498,504,812,932,New York,Washington
Granville ,4003,1989,2014,510,568,798,1002,New York,Washington
Groenwich ,4030,1999,2031,547,516,747,1116,New York,Washington
Kingsbury ,4277,2127,2150,613,651,829,1120,New York,Washington
Salem ,3556,1811,1745,522,488,691,972,New York,Washington
Whitehall ,5564,2856,2708,794,776,1135,1470,New York,Washington
Whitchall ,4322,2203,2119,594,592,896,1183,New York,Washington
Arcadia ,5271,2572,2699,694,705,940,1459,New York,Wayne
Galen ,5706,2850,2856,812,848,1149,1504,New York,Wayne
Lyons ,5115,2510,2605,746,699,926,1333,New York,Wayne
Palnyra ,4188,1992,2196,515,584,760,1123,New York,Wayne
Sodns ,4631,2317,2314,650,635,839,1309,New York,Wayne
Wolcott ,3223,1631,1592,471,460,623,800,New York,Wayne
Bedford ,3697,1779,1918,481,522,666,1014,New York,Westchester
Cortlandt ,11694,6033,5661,1655,1620,2631,3337,New York,Westchester
East Chester ,7491,3687,3813,1109,1152,1330,1907,New York,Westchester
Greenburgh ,10790,5152,5638,1430,1500,2153,2800,New York,Westchester
Morrisania ,19609,9631,9978,2936,3141,3829,4887,New York,Westchester
Mount Pleasant ,5210,2642,2568,797,699,906,1427,New York,Westchester
New Rochelle ,3915,1829,2086,516,570,687,1016,New York,Westchester
Ossining ,7798,4340,3458,990,872,2300,2648,New York,Westchester
Sing Sing ,4696,2840,1856,524,475,1726,1874,New York,Westchester
Rye ,7150,3465,3685,983,1054,1472,1867,New York,Westchester
Westchester ,6015,3381,2634,1466,934,1172,1463,New York,Westchester
West Farms ,9372,4659,4713,1469,1340,1856,2383,New York,Westchester
Yonkers ,18357,8779,9578,2583,2677,3693,4548,New York,Westchester
Yonkers ,12733,6100,6633,1891,1823,2478,3045,New York,Westchester
Warsaw ,3143,1556,1587,428,396,611,854,New York,Wyoming
Milo ,4779,2302,2477,549,566,957,1366,New York,Yates
Penn Yan ,3488,1661,1827,394,395,696,1003,New York,Yates
"Washington, No.1 ",3304,1583,1721,529,477,561,767,North Carolina,Beaufort
"Windsor, No. 1 ",3732,1797,1935,620,588,634,786,North Carolina,Bertie
"Edenton or Lower, No.1",3664,1756,1908,559,573,627,847,North Carolina,Chowan
New Berne,5849,2533,3316,745,831,1080,1364,North Carolina,Craven
Fayetteville,4660,2125,2535,701,741,739,968,North Carolina,Cumberland
"Tarboro, No. 1",3102,1547,1555,409,459,733,806,North Carolina,Edgecombe
"Dallas, No. 2",4006,1875,2131,668,666,625,712,North Carolina,Gaston
Brassfield's No. 11,3015,1434,1581,533,510,451,588,North Carolina,Granville
"Henderson, No. 6",3033,1464,1569,507,478,488,632,North Carolina,Granville
"Kinston, No. 1",4604,2195,2409,721,704,809,964,North Carolina,Lenoir
"Hamilton, No. 3",3957,2040,1917,683,610,763,903,North Carolina,Martin
"Williamston, No. 2",3160,1507,1653,535,499,533,666,North Carolina,Martin
Charlotte,4473,2059,2414,578,742,908,1052,North Carolina,Mechlenburg
Wilmington,13446,6146,7300,1620,1939,2750,3308,North Carolina,New Hanover
"Rich Square, No. 10",3133,1564,1569,561,518,555,669,North Carolina,Northampton
"Hillsboro, No. 1",3624,1637,1987,592,624,487,709,North Carolina,Orange
"California, No. 2",3626,1838,1788,635,508,695,757,North Carolina,Pitt
"Greenville, No. 1",3838,1856,1982,615,601,650,801,North Carolina,Pitt
Mayo,3539,1717,1822,615,631,552,674,North Carolina,Rockingham
"DSalisbury, No. 1",3327,1528,1799,523,561,562,714,North Carolina,Rowan
Raliegh,7790,3625,4165,1113,1178,1501,1758,North Carolina,Wake
"Wake Forest, No. 5",3135,1607,1528,519,455,617,673,North Carolina,Wake
"Wilson, No. 1",3170,1506,1664,506,544,569,639,North Carolina,Wilson
Ottawa,4662,2274,2388,693,741,907,1106,Ohio,Allen
Lima,4500,2195,2305,665,721,879,1067,Ohio,Allen
Montgomery,4029,2004,2025,656,651,739,954,Ohio,Ashland
Ashtabula,3394,1691,1703,489,499,610,859,Ohio,Ashtabula
Conneaut,3010,1440,1564,391,406,570,840,Ohio,Ashtabula
Athens,3277,1647,1630,548,509,642,791,Ohio,Athens
Duchonquet,3959,2022,1937,643,639,754,919,Ohio,Auglaize
Pease,5211,2554,2657,817,842,932,1213,Ohio,Belmont
Pultney,6319,3193,3126,944,1009,1289,1509,Ohio,Belmont
Bellaire,4033,2039,1994,565,649,880,1042,Ohio,Belmont
Richland,4170,2058,2112,664,648,704,998,Ohio,Belmont
Warren,4099,1990,2109,634,658,728,962,Ohio,Belmont
Huntington,3020,1495,1525,521,526,504,650,Ohio,Brown
Perry,3016,1485,1531,559,580,458,636,Ohio,Brown
Union,5399,2651,2748,858,886,923,1225,Ohio,Brown
Hamilton,11081,5401,5620,1751,1787,2075,2649,Ohio,Butler
Lemon,5242,2582,2660,808,856,970,1281,Ohio,Butler
Middletown,3046,1476,1570,479,521,523,714,Ohio,Butler
Oxford,3959,1838,2121,568,686,668,885,Ohio,Butler
Urbana,4276,2046,2230,628,693,778,1024,Ohio,Champaign
Bethel,3086,1544,1542,491,481,563,740,Ohio,Clark
